nr	Author	IMR-Sage	REMP-Staatsdrukkerij	IM-Wiley	Dutch_Government	ICEM	REMP	Overlap_IMR_IM
88	Arnold, F	5.00	0.00	1.00	0.00	0.00	0.00	1
89	Aronowitz, M	2.00	0.00	0.00	0.00	0.00	0.00	0
90	Arp, W	0.00	0.00	1.00	0.00	0.00	0.00	0
91	Arregui, E	1.00	0.00	0.00	0.00	0.00	0.00	0
92	Arroyo, L	1.00	0.00	0.00	0.00	0.00	0.00	0
93	Arsdol, M	0.00	0.00	1.00	0.00	0.00	0.00	0
94	Arsdol, V	0.00	0.00	1.00	0.00	0.00	0.00	0
95	Atchison, J	0.00	0.00	2.00	0.00	0.00	0.00	0
96	Athukorala, P	1.00	0.00	2.00	0.00	0.00	0.00	1
97	Attinasi, J	1.00	0.00	0.00	0.00	0.00	0.00	0
98	Atwater, L	1.00	0.00	0.00	0.00	0.00	0.00	0
99	Audenino, P	4.00	0.00	0.00	0.00	0.00	0.00	0
100	August, L	1.00	0.00	0.00	0.00	0.00	0.00	0
101	Aulich, W	0.00	0.00	2.00	0.00	0.00	0.00	0
102	Avery, D	2.00	0.00	0.00	0.00	0.00	0.00	0
103	Avila, F	0.00	2.00	1.00	0.00	0.00	1.00	0
104	Avruch, K	4.00	0.00	0.00	0.00	0.00	0.00	0
105	Axelrod, B	1.00	0.00	0.00	0.00	0.00	0.00	0
106	Axmann, A	0.00	0.00	1.00	0.00	0.00	0.00	0
107	Ayat, E	1.00	0.00	0.00	0.00	0.00	0.00	0
108	Azam, F	0.00	0.00	1.00	0.00	0.00	0.00	0
109	Baca, R	1.00	0.00	0.00	0.00	0.00	0.00	0
110	Bach, R	7.00	0.00	0.00	0.00	0.00	0.00	0
111	Backer, J	0.00	0.00	1.00	0.00	0.00	1.00	0
112	Bacon, J	1.00	0.00	0.00	0.00	0.00	0.00	0
113	Bacon, P	1.00	0.00	0.00	0.00	0.00	0.00	0
114	Baerga, M	1.00	0.00	0.00	0.00	0.00	0.00	0
115	Baeza, M	1.00	0.00	0.00	0.00	0.00	0.00	0
116	Baganha, M	1.00	0.00	0.00	0.00	0.00	0.00	0
117	Bagley, C	1.00	0.00	0.00	0.00	0.00	0.00	0
118	Baglioni, G	1.00	0.00	0.00	0.00	0.00	0.00	0
119	Bagu, S	0.00	0.00	1.00	0.00	0.00	0.00	0
120	Bailey, A	0.00	0.00	1.00	0.00	0.00	0.00	0
121	Bailey, S	2.00	0.00	0.00	0.00	0.00	0.00	0
122	Bailey, T	6.00	0.00	0.00	0.00	0.00	0.00	0
123	Baily, S	8.00	0.00	0.00	0.00	0.00	0.00	0
124	Bain, I	0.00	0.00	1.00	0.00	0.00	0.00	0
125	Baker, D	2.00	0.00	0.00	0.00	0.00	0.00	0
126	Baker, P	1.00	0.00	0.00	0.00	0.00	0.00	0
127	Baker, S	5.00	0.00	0.00	0.00	0.00	0.00	0
128	Balancio, D	1.00	0.00	0.00	0.00	0.00	0.00	0
129	Baletic, Z	1.00	0.00	0.00	0.00	0.00	0.00	0
130	Balhana, A	0.00	1.00	0.00	0.00	0.00	0.00	0
131	Ball, J	0.00	0.00	1.00	0.00	0.00	0.00	0
132	Baltensperger, B	4.00	0.00	0.00	0.00	0.00	0.00	0
133	Banks, L	0.00	0.00	1.00	0.00	0.00	0.00	0
134	Bankston, C	3.00	0.00	0.00	0.00	0.00	0.00	0
135	Bannon, J	1.00	0.00	0.00	0.00	0.00	0.00	0
136	Bar-Yosef, R	1.00	0.00	0.00	0.00	0.00	0.00	0
137	Barakat, H	1.00	0.00	0.00	0.00	0.00	0.00	0
138	Barbara, A	0.00	0.00	1.00	0.00	0.00	0.00	0
139	Barbera, H	1.00	0.00	0.00	0.00	0.00	0.00	0
140	Barbero-Baconnier, J	0.00	0.00	2.00	0.00	0.00	0.00	0
141	Barbezat, D	1.00	0.00	0.00	0.00	0.00	0.00	0
142	Barbieri, W	1.00	0.00	0.00	0.00	0.00	0.00	0
143	Barbosa-Dasilva, J	3.00	0.00	0.00	0.00	0.00	0.00	0
144	Bariagaber, A	0.00	0.00	1.00	0.00	0.00	0.00	0
145	Barkan, E	1.00	0.00	0.00	0.00	0.00	0.00	0
146	Barkin, B	0.00	0.00	1.00	0.00	0.00	0.00	0
147	Barrett, F	1.00	0.00	0.00	0.00	0.00	0.00	0
148	Barrett, J	1.00	0.00	0.00	0.00	0.00	0.00	0
149	Barry, S	1.00	0.00	0.00	0.00	0.00	0.00	0
150	Barsky, R	1.00	0.00	0.00	0.00	0.00	0.00	0
151	Bartel, B	1.00	0.00	0.00	0.00	0.00	0.00	0
152	Bartram, D	2.00	0.00	0.00	0.00	0.00	0.00	0
153	Basavarajappa, K	0.00	0.00	3.00	0.00	0.00	0.00	0
154	Bascom, J	1.00	0.00	0.00	0.00	0.00	0.00	0
155	Basile, E	1.00	0.00	0.00	0.00	0.00	0.00	0
156	Baskauskas, L	1.00	0.00	1.00	0.00	0.00	0.00	1
157	Basok, T	4.00	0.00	0.00	0.00	0.00	0.00	0
158	Bassler, G	1.00	0.00	0.00	0.00	0.00	0.00	0
159	Battistella, G	2.00	0.00	0.00	0.00	0.00	0.00	0
160	Baubock, R	2.00	0.00	0.00	0.00	0.00	0.00	0
161	Baucic, I	1.00	0.00	0.00	0.00	0.00	0.00	0
162	Bautista, E	0.00	0.00	1.00	0.00	0.00	0.00	0
163	Baver, S	0.00	0.00	1.00	0.00	0.00	0.00	0
164	Bayor, R	3.00	0.00	0.00	0.00	0.00	0.00	0
165	Beach, F	4.00	0.00	0.00	0.00	0.00	0.00	0
166	Bean, F	5.00	0.00	0.00	0.00	0.00	0.00	0
167	Beckels, H	1.00	0.00	0.00	0.00	0.00	0.00	0
168	Becker, A	2.00	0.00	0.00	0.00	0.00	0.00	0
169	Beenstock, M	1.00	0.00	2.00	0.00	0.00	0.00	1
170	Begag, A	0.00	0.00	2.00	0.00	0.00	0.00	0
171	Belanger, A	1.00	0.00	0.00	0.00	0.00	0.00	0
172	Beld, Van Den, C	0.00	2.00	0.00	0.00	0.00	0.00	0
173	Bell, R	3.00	0.00	0.00	0.00	0.00	0.00	0
174	Bellegarde-Smith, P	1.00	0.00	0.00	0.00	0.00	0.00	0
175	Belshaw, H	0.00	1.00	0.00	0.00	0.00	0.00	0
176	Ben Menahem, Y	0.00	0.00	1.00	0.00	0.00	0.00	0
177	Bender, E	0.00	0.00	1.00	0.00	0.00	0.00	0
178	Benn, D	0.00	0.00	1.00	0.00	0.00	0.00	0
179	Bennegadi, R	0.00	0.00	1.00	0.00	0.00	0.00	0
180	Bennett, A	1.00	0.00	0.00	0.00	0.00	0.00	0
181	Bennett, N	2.00	0.00	0.00	0.00	0.00	0.00	0
182	Bennett, S	3.00	0.00	0.00	0.00	0.00	0.00	0
183	Benski, T	1.00	0.00	0.00	0.00	0.00	0.00	0
184	Bentwich, N	0.00	1.00	0.00	0.00	0.00	0.00	0
185	Bergman, E	0.00	0.00	1.00	0.00	0.00	0.00	0
186	Bergquist, J	8.00	0.00	0.00	0.00	0.00	0.00	0
187	Bernard, J	3.00	0.00	0.00	0.00	0.00	0.00	0
188	Bernard, R	1.00	0.00	0.00	0.00	0.00	0.00	0
189	Bernard, T	0.00	0.00	1.00	0.00	0.00	0.00	0
190	Bernard, W	6.00	1.00	6.00	0.00	0.00	0.00	1
191	Berndt, R	1.00	0.00	0.00	0.00	0.00	0.00	0
192	Bernstein, J	0.00	0.00	1.00	0.00	0.00	0.00	0
193	Berrocal, L	1.00	0.00	0.00	0.00	0.00	0.00	0
194	Berry, J	1.00	0.00	1.00	0.00	0.00	0.00	1
195	Berry-Caban, C	5.00	0.00	0.00	0.00	0.00	0.00	0
196	Berry-Capan, C	1.00	0.00	0.00	0.00	0.00	0.00	0
197	Berson, L	2.00	0.00	0.00	0.00	0.00	0.00	0
198	Berthoff, R	1.00	0.00	0.00	0.00	0.00	0.00	0
199	Bertinetto, G	0.00	0.00	1.00	0.00	0.00	0.00	0
200	Bertone, S	1.00	0.00	0.00	0.00	0.00	0.00	0
201	Bertrand, D	0.00	0.00	1.00	0.00	0.00	0.00	0
202	Besse, F	1.00	0.00	0.00	0.00	0.00	0.00	0
203	Besterman, W	0.00	0.00	2.00	0.00	1.00	0.00	0
204	Bethlenfalvy, P	0.00	0.00	4.00	0.00	0.00	0.00	0
205	Betten, N	3.00	0.00	0.00	0.00	0.00	0.00	0
206	Betts, K	1.00	0.00	0.00	0.00	0.00	0.00	0
207	Beyer, G	3.00	12.00	9.00	0.00	0.00	1.00	1
208	Bhana, S	1.00	0.00	0.00	0.00	0.00	0.00	0
209	Biddlecom, A	2.00	0.00	0.00	0.00	0.00	0.00	0
210	Bideberry, P	0.00	0.00	1.00	0.00	0.00	0.00	0
211	Bidegain, G	0.00	0.00	1.00	0.00	0.00	0.00	0
212	Biffl, G	0.00	0.00	1.00	0.00	0.00	0.00	0
213	Billigmeier, R	1.00	0.00	0.00	0.00	0.00	0.00	0
214	Biparva, E	1.00	0.00	0.00	0.00	0.00	0.00	0
215	Birks, J	3.00	0.00	1.00	0.00	0.00	0.00	1
216	Birrell, R	1.00	0.00	0.00	0.00	0.00	0.00	0
217	Bixler-Marquez, D	2.00	0.00	0.00	0.00	0.00	0.00	0
218	Bjork, K	2.00	0.00	0.00	0.00	0.00	0.00	0
219	Black, R	0.00	0.00	1.00	0.00	0.00	0.00	0
220	Blackwelder, J	1.00	0.00	0.00	0.00	0.00	0.00	0
221	Blake, R	0.00	0.00	1.00	0.00	0.00	0.00	0
222	Blank, S	1.00	0.00	0.00	0.00	0.00	0.00	0
223	Blaschke, J	0.00	0.00	1.00	0.00	0.00	0.00	0
224	Blatt, D	1.00	0.00	0.00	0.00	0.00	0.00	0
225	Blauw, P	0.00	0.00	1.00	0.00	0.00	0.00	0
226	Blauw, W	1.00	0.00	0.00	0.00	0.00	0.00	0
227	Bliatout, B	1.00	0.00	0.00	0.00	0.00	0.00	0
228	Blom, S	0.00	0.00	1.00	0.00	0.00	0.00	0
229	Blouin, F	3.00	0.00	0.00	0.00	0.00	0.00	0
230	Blount, S	1.00	0.00	0.00	0.00	0.00	0.00	0
231	Blumenthal, S	1.00	0.00	0.00	0.00	0.00	0.00	0
232	Bock, P	1.00	0.00	0.00	0.00	0.00	0.00	0
233	Bodega, I	1.00	0.00	0.00	0.00	0.00	0.00	0
234	Bodnar, J	2.00	0.00	0.00	0.00	0.00	0.00	0
235	Body, P	1.00	0.00	0.00	0.00	0.00	0.00	0
236	Boer-Lasschuyt, De, T	0.00	1.00	0.00	0.00	0.00	0.00	0
237	Bohning, R	1.00	0.00	0.00	0.00	0.00	0.00	0
238	Bohning, W	6.00	0.00	4.00	0.00	0.00	0.00	1
239	Bollini, P	0.00	0.00	1.00	0.00	0.00	0.00	0
240	Bonacich, E	1.00	0.00	0.00	0.00	0.00	0.00	0
241	Bonadio, F	1.00	0.00	0.00	0.00	0.00	0.00	0
242	Bonaffinia, L	1.00	0.00	0.00	0.00	0.00	0.00	0
243	Bonilla, F	1.00	0.00	0.00	0.00	0.00	0.00	0
244	Bonnett, A	1.00	0.00	0.00	0.00	0.00	0.00	0
245	Borchert, J	1.00	0.00	0.00	0.00	0.00	0.00	0
246	Borjas, G	3.00	0.00	0.00	0.00	0.00	0.00	0
247	Borland, J	2.00	0.00	0.00	0.00	0.00	0.00	0
248	Borocz, J	1.00	0.00	0.00	0.00	0.00	0.00	0
249	Borowski, A	0.00	0.00	1.00	0.00	0.00	0.00	0
250	Borrie, W	0.00	1.00	1.00	0.00	0.00	1.00	0
251	Bosniak, L	1.00	0.00	0.00	0.00	0.00	0.00	0
252	Bosworth, R	1.00	0.00	0.00	0.00	0.00	0.00	0
253	Botya, E	0.00	0.00	1.00	0.00	0.00	0.00	0
254	Boudahrain, A	1.00	0.00	0.00	0.00	0.00	0.00	0
255	Bourdillon, F	0.00	0.00	1.00	0.00	0.00	0.00	0
256	Bouscaren, A	6.00	2.00	0.00	0.00	0.00	0.00	0
257	Bouvier, L	1.00	0.00	0.00	0.00	0.00	0.00	0
258	Bovenkerk, F	2.00	1.00	0.00	0.00	0.00	0.00	0
259	Boyd, M	10.00	0.00	1.00	0.00	0.00	0.00	1
260	Brabban, D	1.00	0.00	0.00	0.00	0.00	0.00	0
261	Brackel, P	0.00	1.00	0.00	0.00	0.00	0.00	0
262	Bradshaw, B	2.00	0.00	0.00	0.00	0.00	0.00	0
263	Branco, C	1.00	0.00	0.00	0.00	0.00	0.00	0
264	Brandenburg, B	1.00	0.00	0.00	0.00	0.00	0.00	0
265	Brandes, J	4.00	0.00	0.00	0.00	0.00	0.00	0
266	Brandt, L	1.00	0.00	0.00	0.00	0.00	0.00	0
267	Bratsberg, B	1.00	0.00	0.00	0.00	0.00	0.00	0
268	Bratt, J	2.00	0.00	0.00	0.00	0.00	0.00	0
269	Bray, D	1.00	0.00	0.00	0.00	0.00	0.00	0
270	Brennan, E	3.00	0.00	0.00	0.00	0.00	0.00	0
271	Brepohl, W	0.00	1.00	0.00	0.00	0.00	0.00	0
272	Brettell, C	5.00	0.00	0.00	0.00	0.00	0.00	0
273	Brickman, W	1.00	0.00	0.00	0.00	0.00	0.00	0
274	Briggs, J	3.00	0.00	0.00	0.00	0.00	0.00	0
275	Briggs, V	5.00	0.00	0.00	0.00	0.00	0.00	0
276	Brindisi, R	1.00	0.00	0.00	0.00	0.00	0.00	0
277	Brink, Van Den, T	0.00	2.00	0.00	0.00	0.00	1.00	0
278	Briody, E	1.00	0.00	0.00	0.00	0.00	0.00	0
279	Briquets, S	2.00	0.00	0.00	0.00	0.00	0.00	0
280	Bristow, M	0.00	0.00	1.00	0.00	0.00	0.00	0
281	Brittain, A	1.00	0.00	0.00	0.00	0.00	0.00	0
282	Brock, W	1.00	0.00	0.00	0.00	0.00	0.00	0
283	Brockerhoff, M	2.00	0.00	0.00	0.00	0.00	0.00	0
284	Bronfman, M	0.00	0.00	1.00	0.00	0.00	0.00	0
285	Brown, D	1.00	0.00	0.00	0.00	0.00	0.00	0
286	Brown, L	0.00	0.00	1.00	0.00	0.00	0.00	0
287	Brown, M	20.00	0.00	0.00	0.00	0.00	0.00	0
288	Browne, H	1.00	0.00	0.00	0.00	0.00	0.00	0
289	Browning, H	4.00	0.00	0.00	0.00	0.00	0.00	0
290	Brox, J	0.00	0.00	1.00	0.00	0.00	0.00	0
291	Brubaker, R	2.00	0.00	0.00	0.00	0.00	0.00	0
292	Brubaker, W	1.00	0.00	0.00	0.00	0.00	0.00	0
293	Bryan, D	1.00	0.00	0.00	0.00	0.00	0.00	0
294	Buchan, J	0.00	0.00	1.00	0.00	0.00	0.00	0
295	Buchanan, S	2.00	0.00	0.00	0.00	0.00	0.00	0
296	Buchignani, N	1.00	0.00	0.00	0.00	0.00	0.00	0
297	Buckley, C	0.00	0.00	1.00	0.00	0.00	0.00	0
298	Buetow, S	0.00	0.00	1.00	0.00	0.00	0.00	0
299	Bukoff, A	1.00	0.00	0.00	0.00	0.00	0.00	0
300	Bukowczyk, J	2.00	0.00	0.00	0.00	0.00	0.00	0
301	Bullough, W	1.00	0.00	0.00	0.00	0.00	0.00	0
302	Bun, C	3.00	0.00	0.00	0.00	0.00	0.00	0
303	Bunzel, J	2.00	0.00	0.00	0.00	0.00	0.00	0
304	Burma, J	1.00	0.00	0.00	0.00	0.00	0.00	0
305	Burnet, J	5.00	0.00	0.00	0.00	0.00	0.00	0
306	Burnley, I	3.00	0.00	2.00	0.00	0.00	0.00	1
307	Burnley, J	0.00	0.00	1.00	0.00	0.00	0.00	0
308	Busa, R	0.00	0.00	1.00	0.00	0.00	0.00	0
309	Bustamante, J	2.00	0.00	0.00	0.00	0.00	0.00	0
310	Butler, J	1.00	0.00	0.00	0.00	0.00	0.00	0
311	Byerlee, D	1.00	0.00	0.00	0.00	0.00	0.00	0
312	Cachero, L	0.00	0.00	2.00	0.00	0.00	0.00	0
313	Caci-Kumpes, J	1.00	0.00	0.00	0.00	0.00	0.00	0
314	Cahill, D	3.00	0.00	0.00	0.00	0.00	0.00	0
315	Callan, V	2.00	0.00	0.00	0.00	0.00	0.00	0
316	Callea, S	0.00	0.00	1.00	0.00	0.00	0.00	0
317	Callovi, G	1.00	0.00	0.00	0.00	0.00	0.00	0
318	Calvaruso, C	1.00	0.00	0.00	0.00	0.00	0.00	0
319	Cameron, M	1.00	0.00	0.00	0.00	0.00	0.00	0
320	Cammaert, M	0.00	0.00	1.00	0.00	0.00	0.00	0
321	Cammett, J	1.00	0.00	0.00	0.00	0.00	0.00	0
322	Canak, W	1.00	0.00	0.00	0.00	0.00	0.00	0
323	Cance, A	2.00	0.00	0.00	0.00	0.00	0.00	0
324	Cannistraro, P	3.00	0.00	0.00	0.00	0.00	0.00	0
325	Cappon, P	1.00	0.00	0.00	0.00	0.00	0.00	0
326	Cardenas, G	5.00	0.00	0.00	0.00	0.00	0.00	0
327	Carens, J	1.00	0.00	0.00	0.00	0.00	0.00	0
328	Carino, B	2.00	0.00	0.00	0.00	0.00	0.00	0
329	Carlin, J	0.00	0.00	2.00	0.00	1.00	0.00	0
330	Carlson, A	0.00	0.00	3.00	0.00	0.00	0.00	0
331	Carlsson, S	2.00	0.00	0.00	0.00	0.00	0.00	0
332	Carmichael, G	1.00	0.00	1.00	0.00	0.00	0.00	1
333	Caroli, B	9.00	0.00	0.00	0.00	0.00	0.00	0
334	Carroll, R	1.00	0.00	0.00	0.00	0.00	0.00	0
335	Carroll, W	1.00	0.00	0.00	0.00	0.00	0.00	0
